,Disease_ID,Disease_Name,Target_ID,Target_Symbol,score,evidenceCount,id
270,Orphanet_95702,Cytomegalic congenital adrenal hypoplasia,ENSG00000169297,NR0B1,0.7682816114650334,22.0,190
519,Orphanet_96,Ataxia with vitamin E deficiency,ENSG00000137561,TTPA,0.8163842676306206,142.0,7274
742,Orphanet_96210,Rare genetic deafness,ENSG00000242866,STRC,0.6895187734348601,80.0,161497
1067,Orphanet_97,Familial paroxysmal ataxia,ENSG00000141837,CACNA1A,0.839135970632217,1834.0,773
1197,Orphanet_98,Autosomal recessive spastic ataxia of Charlevoix-Saguenay,ENSG00000151835,SACS,0.839926572414116,1043.0,26278
1355,Orphanet_98261,Progressive myoclonic epilepsy,ENSG00000129159,KCNC1,0.740506730771438,277.0,3746
1496,Orphanet_98261,Progressive myoclonic epilepsy,ENSG00000223802,CERS1,0.7028758478248482,290.0,10715
2041,Orphanet_983,Testicular regression syndrome,ENSG00000150990,DHX37,0.7481528651029524,35.0,57647
2898,Orphanet_98434,Hereditary combined deficiency of vitamin K-dependent clotting factors,ENSG00000115486,GGCX,0.7265404420372779,197.0,2677
3155,Orphanet_98523,Non-syndromic pontocerebellar hypoplasia,ENSG00000036054,TBC1D23,0.6974596430428839,28.0,55773
3157,Orphanet_98523,Non-syndromic pontocerebellar hypoplasia,ENSG00000068120,COASY,0.6648043490496715,11.0,80347
3292,Orphanet_98619,Rare isolated myopia,ENSG00000090530,P3H2,0.700771578336288,18.0,55214
3461,Orphanet_98619,Rare isolated myopia,ENSG00000163956,LRPAP1,0.648348806019835,9.0,4043
3560,Orphanet_98619,Rare isolated myopia,ENSG00000284194,SCO2,0.7911061851581713,30.0,9997
3807,Orphanet_98673,"Autosomal dominant optic atrophy, classic type",ENSG00000087470,DNM1L,0.7135641475355098,23.0,10059
3860,Orphanet_98673,"Autosomal dominant optic atrophy, classic type",ENSG00000198836,OPA1,0.8242237764677179,205.0,4976
3866,Orphanet_98676,Autosomal recessive isolated optic atrophy,ENSG00000130347,RTN4IP1,0.6113239589154309,15.0,84816
4590,Orphanet_98805,"Primary dystonia, DYT4 type",ENSG00000104833,TUBB4A,0.7800152293976111,72.0,10382
4739,Orphanet_98806,"Primary dystonia, DYT6 type",ENSG00000131931,THAP1,0.8371767261634223,133.0,55145
5062,Orphanet_98811,Paroxysmal exertion-induced dyskinesia,ENSG00000117394,SLC2A1,0.813720426992809,79.0,6513
5191,Orphanet_98813,Hypohidrotic ectodermal dysplasia with immunodeficiency,ENSG00000100906,NFKBIA,0.7387308149351529,174.0,4792
5195,Orphanet_98813,Hypohidrotic ectodermal dysplasia with immunodeficiency,ENSG00000269335,IKBKG,0.8262688110273153,50.0,8517
5430,Orphanet_98869,Congenital dyserythropoietic anemia type I,ENSG00000140326,CDAN1,0.8006292312556542,256.0,146059
5601,Orphanet_98869,Congenital dyserythropoietic anemia type I,ENSG00000186073,CDIN1,0.6676799973742139,20.0,84529
5777,Orphanet_98870,Congenital dyserythropoietic anemia type III,ENSG00000137807,KIF23,0.6841626024279853,11.0,9493
5961,Orphanet_98873,Congenital dyserythropoietic anemia type II,ENSG00000101310,SEC23B,0.8033192780078712,206.0,10483
6278,Orphanet_98880,Familial afibrinogenemia,ENSG00000171557,FGG,0.7088065429742033,11.0,2266
6279,Orphanet_98880,Familial afibrinogenemia,ENSG00000171560,FGA,0.6588166913757394,9.0,2243
6280,Orphanet_98880,Familial afibrinogenemia,ENSG00000171564,FGB,0.7746157005191467,16.0,2244
6302,Orphanet_98885,Bleeding diathesis due to glycoprotein VI deficiency,ENSG00000088053,GP6,0.6846143877369962,8.0,51206
6442,Orphanet_98902,Amish nemaline myopathy,ENSG00000105048,TNNT1,0.6370151338066309,186.0,7138
6581,Orphanet_98909,Desminopathy,ENSG00000175084,DES,0.8419679504066847,744.0,1674
6638,Orphanet_98911,Distal myotilinopathy,ENSG00000120729,MYOT,0.6185329512431468,5.0,9499
6772,Orphanet_98912,"Late-onset distal myopathy, Markesbery-Griggs type",ENSG00000122367,LDB3,0.669888921473929,733.0,11155
6880,Orphanet_98913,Postsynaptic congenital myasthenic syndromes,ENSG00000007314,SCN4A,0.6617647086195879,15.0,6329
6890,Orphanet_98913,Postsynaptic congenital myasthenic syndromes,ENSG00000108556,CHRNE,0.6950378803926888,9.0,1145
6902,Orphanet_98913,Postsynaptic congenital myasthenic syndromes,ENSG00000138435,CHRNA1,0.8029275525159867,33.0,1134
6922,Orphanet_98913,Postsynaptic congenital myasthenic syndromes,ENSG00000175920,DOK7,0.7118432305820258,14.0,285489
6937,Orphanet_98914,Presynaptic congenital myasthenic syndromes,ENSG00000066933,MYO9A,0.7379397485953729,23.0,4649
6938,Orphanet_98914,Presynaptic congenital myasthenic syndromes,ENSG00000070748,CHAT,0.7277722630281498,20.0,1103
6946,Orphanet_98914,Presynaptic congenital myasthenic syndromes,ENSG00000115665,SLC5A7,0.7478207693230341,284.0,60482
6951,Orphanet_98914,Presynaptic congenital myasthenic syndromes,ENSG00000139190,VAMP1,0.6849118827497147,14.0,6843
6973,Orphanet_98915,Synaptic congenital myasthenic syndromes,ENSG00000206561,COLQ,0.766593600971701,328.0,8292
6985,Orphanet_98920,Spinal muscular atrophy with respiratory distress type 1,ENSG00000132740,IGHMBP2,0.8482913532526173,909.0,3508
6992,Orphanet_98920,Spinal muscular atrophy with respiratory distress type 1,ENSG00000145794,MEGF10,0.7599065915229641,640.0,84466
7062,Orphanet_98956,Microcystic corneal dystrophy,ENSG00000120708,TGFBI,0.6325103586862515,9.0,7045
7190,Orphanet_98961,Reis-Bücklers corneal dystrophy,ENSG00000120708,TGFBI,0.6772114242129725,26.0,7045
7491,Orphanet_98974,Fuchs endothelial corneal dystrophy,ENSG00000088836,SLC4A11,0.8133297443500896,65.0,83959
7686,Orphanet_98974,Fuchs endothelial corneal dystrophy,ENSG00000148516,ZEB1,0.7420964977916813,37.0,6935
7759,Orphanet_98974,Fuchs endothelial corneal dystrophy,ENSG00000171812,COL8A2,0.7481005001705129,63.0,1296
7817,Orphanet_98974,Fuchs endothelial corneal dystrophy,ENSG00000196628,TCF4,0.7084056705260529,28.0,6925
7861,Orphanet_98974,Fuchs endothelial corneal dystrophy,ENSG00000273540,AGBL1,0.6154773471334702,9.0,123624
7870,Orphanet_98977,Juvenile glaucoma,ENSG00000034971,MYOC,0.8207695484024067,110.0,4653
7903,Orphanet_98977,Juvenile glaucoma,ENSG00000138061,CYP1B1,0.8420000324026556,213.0,1545
8006,Orphanet_98985,Cataract with Y-shaped suture opacities,ENSG00000108255,CRYBA1,0.7288931784035285,46.0,1411
